ID,,Name,Location,Cat ,Web
393,D-,Asparagine,Chemical drawer 663,A0334-25G,sigmaaldrich.com
394,N-(1-Naphthyl),Ethylenediamine dihydrochloride,Chemical drawer 663,222488-10G,sigmaaldrich.com
395,,Acesulfame potassium,Chemical drawer 663,A2815,spectrumchemical.com
396,,Acetone,607T Fume hood,1.00014.2500,emdmillipore.com
397,,Acetylneuraminic acid hydrate,Back -20 663,A0639,tcichemicals.com
398,,Acid-hydrolyzed casein ,Chemical cabinet 663,228820,bdbiosciences.com
399,,Activated charcoal,Large chemical cabinet 663,1615511KG,sigmaaldrich.com
400,,Adenine sulfate,Chemical drawer 663,163630250,fishersci.com
401,,Agar bacteria grade,Chemcial cabinet 663,443572500,fishersci.com
402,,Agar noble,Chemical cabinet 663,214220,bdbiosciences.com
403,,Agarose low melt,Chemical cabinet and drawer 663,BP160-500,fishersci.com
404,,Agarose ,Chemical cabinet 663 ,N605-500G,fishersci.com
405,D-,D alanine,Chemical drawer 663,A7077-25G,sigmaaldrich.com
406,L-,L alanine,Chemical cabinet and drawer and fume hood 663,102835000,fishersci.com
407,,Albumin from chicken egg white,Fridge 663,A550-1G,sigmaaldrich.com
408,,Amberlite IRA-67,Chemical cabinet 663,42253,alfa.com
409,4-,Aminobenzoic acid,Chemical drawer Fume hood and fridge 663,A12673,alfa.com
410,DL-α-,Aminocaprylic acid,Chemical drawer 663,203220050,fishersci.com
411,(S)-(-)-α,Amino-gamma-butrolacetone HCL,Chemical drawer 663,119063,sigmgaaldrich.com
412,4-,Aminophenylmercuric acetate,Chemical drawer 663,A9563-5G,sigmaaldrich.com
413,,Ammonium 15 N 2 sulfate,Chemical drawer 663,299286-10G,sigmaaldrich.com
414,,Ammonium carbonate,Chemical cabinet 663,A9516-500G,sigmaaldrich.com
415,,Ammonium chloride,Chemical cabinet 663,0660-01,avantornic.com
416,,Ammonium citrate dibasic,Chemical drawer 663,24751-100G,sigmaaldrich.com
417,,Ammonium citrate tribasic,Chemical drawer 663,A16973,alfa.com
418,,Ammonium persulfate,Chemical drawer 663,A3678-25G,sigmaaldrich.com
419,,Ammonium sulfate,Chemical cabinet and fume hood 663,A4418-100G,sigmaaldrich.com
420,,Ampicillin,Fridge 663,BP1760-25,fishersci.com
421,,Ampicillin sodium salt,Fridge 663,A0166-5G,sigmaaldrich.com
422,,Ampramycin sulfate salt,Fridge 663,A2024-5G,sigmaaldrich.com
423,(+),Arabinogalactan,Large chemical cabinet and fume hood 663,W325406-1K,sigmaaldrich.com
424,L-(+),Arabinose,Chemical drawer 663,A3256-25G,sigmaaldrich.com
425,L-,Arginine,Chemical drawer and fume hood 663,104991000,fishersci.com
426,L-,Arginine hydroxamate HCl,Side -20 663E,A7380-100MG,sigmaaldrich.com
427,L-,Ascorbic acid,Chemical drawer 663,36237,alfa.com
428,,Asolectin from soybean,Fidge 663,11145-50G,sigmaaldrich.com
429,L-,Asparagine,Chemical drawer and fume hood 663,A4159-25G,sigmaaldrich.com
430,,Aspartame,Chemical cabinet 663,A1377,spectrumchemical.com
431,L-,Aspartic acid,Chemical drawer and fume hood 663,105041000,fishersci.com
432,,Axtreonam,Fridge 663,A6848-50MG,sigmaaldrich.com
433,,Azide blood agar base,Chemical cabinet 663,CM0259,thermofisher.com
434,,Bacto agar,Chemical cabinet 663 and Annie's Bench 607,72717280,bdbiosciences.com
435,,Beef exract powder,Chemical cabinet 663,212303,bdbiosciences.com
436,,Betaine,Chemical drawer 663,204241000,fishersci.com
437,,Bicine,Chemical drawer 663,A14957,alfa.com
438,,Bile bovine,chemical cabinet and fume hood 663,B3883-500G,sigmaaldrich.com
439,,Bile bovine and ovine,Chemical cabinet 663,B8381-100G,sigmaaldrich.com
440,,Bile extract porcine,Chemical cabinet 663,B8631-100G,sigmaaldrich.com
441,,Biotin,Chemical drawer and fridge 663,B4501-1G,sigmaaldrich.com
442,,Bis tris,Chemical cabinet 663,B4429-100G,sigmaaldrich.com
443,,Boric acid,Chemical cabinet 663,0084-01,avantornic.com
444,,Brain heart infusion broth,Chemical cabinet and fume hood 663 and Annie's bench 607,211059,bdbiosciences.com
445,,Brilliant blue (Coomasie),Chemical drawer 663,B-0770,sigmaaldrich.com
446,,Bromocresol purple,Chemical drawer 663,A19350,alfa.com
447,,Bromophenol blue sodium salt,Chemical drawer 663,15022,mpbio.com
448,,Bromothymol blue,Chemical drawer 663,B0687,tcichemicals.com
449,5-,Bromouracil,Chemical drawer 663,852473-5G,sigmaaldrich.com
450,,Brucella broth,Annie's bench 607,211088,bdbiosciences.com
451,,Brucella medium broth,Chemical cabinet 663,CM0169,thermofisher.com
452,N-tert-,Butyldimethylsilyl N methyltrifluoroacetamide,Fridge 663,19918,sigmaaldrich.com
453,,Calcein,Chemical cabinet 663,C0815-5G,sigmaaldrich.com
454,,Calcium chloride dihydrate,Chemical cabinet  and fume hood 663,BP510-500,fishersci.com
455,,Calcium nitrate ,Chemical cabinet 663,7270780,bdbiosciences.com
456,,Calcium nitrate tetrahydrate,Chemical cabinet 663,423535000,fishersci.com
457,,Carbenicillin disodium salt,Chemical drawer and fridge 663,C0283-25G,sigmaaldrich.com
458,,Carbonate-bicarbonare buffer,Chemical drawer 663,C3041-50CAP,sigmaaldrich.com
459,,Casamino acids ,Chemical cabinet 663,J851-500G,us.vwr.com
460,,Casein from bovine milk,Chemical cabinet 663,C7070-500G,sigmaaldrich.com
461,,Casitone bacto,Chemical cabinet 663,225930,bdbiosciences.com
462,,Catalase from bovine liver,Side -20 663,C1345-1G,sigmaaldrich.com
463,,Cefaclor,Fridge back and side -20 663,C6895-100MG,sigmaaldrich.com
464,,Cefoperazone sodium salt ,Fridge 663,C4292-5G,sigmaaldrich.com
465,,Ceftriaxone disodium salt hemi(heptahydrate),Fridge 663,C2226,tcichemicals.com
466,D-(+)-,Cellobiose,Chemical cabinet and fume hood 663,C7252-100G,sigmaaldrich.com
467,,Chloramphenicol,Chemical drawer 663,C-0378,sigmaaldrich.com
468,,Chloric acid sodium salt,Chemical drawer 663,229101-50G,emdmillipore.com
469,,Chloroform,607 Fume hood,C298-500,fishersci.com
470,(±)-,Chlorpheninamine maleate,Chemical drawer 663,C3025-5G,sigmaaldrich.com
471,,Cholesterol,Chemical cabinet and Hood 663,F676-05,avantornic.com
472,,Choline chloride,Chemical drawer 663,C7017-25G,sigmaaldrich.com
473,,Ciprofloxacin,Chemical drawer 663,17850-5G-F,sigmaaldrich.com
474,,Citric acid anhydrous,Chemical cabinet 663,BP339-500,fishersci.com
475,,Clindamycin phosphate,Fridge 663,C2257,tcichemicals.com
476,,Clostridien agar,Chemical cabinet 663,V376110,emdmillipore.com
477,,Cobalt (II) chloride hexahydrate,Chemical drawer 663,C8661-25G,sigmaaldrich.com
478,,Colistin sulfate,Fridge 663,00068,chemimplex.com
479,,Columbia agar MLT,Chemical cabinet 663,R45412,remel.com
480,,Columbia blood agar,Chemical cabinet 663,CM0331,thermofisher.com
481,,Columbia broth,Chemical drawer 663,274420,bdbiosciences.com
482,,Copper (II) chloride,Chemical drawer 663,203149-10G,sigmaaldrich.com
483,,Copper (II) sulfate pentahydrate,Chemical drawer 663,203009A,southernbiotech.com
484,D-(+)-,Cycloserine,Fridge 663,00618,chemimpex.com
485,L-,Cysteine,Chemical drawer 663,C7352-100F,sigmaaldrich.com
486,L-,Cysteine HCl anhydrous,Chemical drawer 663,C1267-50G,sigmaaldrich.com
487,,Cytarabine,Fridge 663,1162002,sigmaaldrich.com
488,  ,Cytidine,Chemical drawer fridge 663,C4654-1G,sigmaaldrich.com
489,,Cytidine 3 monophosphate,Side -20 663,C-1133,sigmaaldrich.com
490,,Cytidine 5 monophosphate,Side -20 663,C131-1G,sigmaaldrich.com
491,,Dantrolene sodium salt,Chemical drawer 663,D9175-100MG,sigmaaldrich.com
492,,Daptomycin,Side -20 663,D2446-1MG,sigmaaldrich.com
493,,Decanal,Fridge 663,D7384-25G,sigmaaldrich.com
494,,Decoyinine,Fridge 663,A-230,biomol.com
495,,Denatonium benzoate,Chemical drawer 663,D5765-5G,sigmaaldrich.com
496,,Deoxycholic acid minimum 99%,Chemical cabinet 663,D2510-100G,sigmaaldrich.com
497,,Deoxyribonuclease,Back freezer 663,DN25-1G,sigmaaldrich.com
498,2 -,Deoxyridine 5 monophosphate disodium salt,Back -20 663,D3876-100MG,sigmaaldrich.com
499,,Dextrose anhydrous,Large chemical cabinet and fume hood 663,BP350-1,fishersci.com
500,,Dihydrofolic acid dyhydrate,Back -20 663,271462-25MG,sigmaaldrich.com
501,56-,Dimethylbenzimidazole,Chemical cabinet 663,D147206-25G,sigmaaldrich.com
502,2-4,Dinitrophenyihydrazine,Chemical drawer 663,D199303-25G,sigmaaldrich.com
503,,Dithiothreitol (DTT),Fridge and back -20 663,F780-02,avantornic.com
504,,DNA from herring sperm,Fridge 663,D3159-10G,sigmaaldrich.com
505,,Dodecanoic acid,Jenny's bench 663,A11672,alfa.com
506,,EDTA disodium salt dihydrate,Chemical cabinet 663,15576-028,thermofisher.com
507,,EGTA,Chemical cabinet and drawer 663,0732-100G,us.vwr.com
508,,Elliker broth,Chemical cabinet 663,212183,bdbiosciences.com
509,,Enrofloaxin,Chemical drawer 663,17849,sigmaaldrich.com
510,,Enterococcosel agar,Fridge 607,212205,bdbiosciences.com
511,,Enterococcosel broth,Annie's Bench 663,212207,bdbiosciences.com
512,,Epinephrine,Fridge 663,E1635-5G,sigmaaldrich.com
513,,Erythromycin,Chemical drawer 663,BP920-25,fishersci.com
514,β-,Estradiol,Chemical drawer 663,E2758-250MG,sigmaaldrich.com
515,,Ethanol,Everywhere,64-17-5,deconlabs.com
516,,Ethidium bromide,Chemical drawer 663,00666,chemimpex.com
517,,Ethyl methane sulfonate,Fridge 663,M0880-25MG,sigmaaldrich.com
518,,Ferric chloride anhydrous,Chemical cabinet 663,I72-500,fishersci.com
519,,Ferrous sulfate,Chemical cabinet 663,I-146,fishersci.com
520,,Flumequine,Chemical drawer 663,F7016-16,sigmaaldrich.com
521,5-,Fluorouracil,Chemical drawer 663,F6627-5G,sigmaaldrich.com
522,5-,Fluorouridine,Chemical drawer 663,F5130-100MG,sigmaaldrich.com
523,,Folic Acid,Chemical drawer and fume hood 663,BP25195,fishersci.com
524,D(-),Fructose,Chemical cabinet and fume hood 663,L95-500,fishersci.com
525,L-,Fucose,Chemical drawer and fume hood 663,F2525-5G,sigmaaldrich.com
526,,Fusidic acid sodium salt,Fridge 663,F0881-1G,sigmaaldrich.com
527,N-acetyl-D-,Galactosamine,Fridge 663,A2795-100MG,sigmaaldrich.com
528,D(+),Galactose,Chemical cabinet and fume hood 663,G0625-500G,sigmaaldrich.com
529,D-(+),Galactose minimum,Chemical drawer 663,G0750-10G,sigmaaldrich.com
530,,Gelatin from bovine skin,Chemical cabinet 663,G9382-100G,sigmaaldrich.com
531,,Gelatin from porcine skin type a,Chemical drawer 663,G2500-100G,sigmaaldrich.com
532,,Gentomycin sulfate,Fridge 663,455310010,fishersci.com
533,N-acetyl-D-,Glucosamine ,Side -20 663,A3286-5G,sigmaaldrich.com
534,D-,Glucose 6 phosphate disodium salt hydrate,Back -20 663,100312,mpbio.com
535,D-,Glucuronic acid,Chemical drawer 663,G5269-10G,sigmaaldrich.com
536,L-,Glutamic acid,Chemicasl drawer 663,G1251-100G,sigmaaldrich.com
537,L-,Glutamic acid monosodium salt hydrate,Chemical cabinet 663,G1626-500G,sigmaaldrich.com
538,L-,Glutamine,Chemical drawer and fume hood 663,BP379-100,fishersci.com
539,,Glutaraldehyde solution,Back -20 663,G5882-100ML,sigmaaldrich.com
540,L-,Glutathione oxidized,Side -20 663,G4626-100MG,sigmaaldrich.com
541,L-,Glutathione reduced,Back -20 663,G4251-100G,sigmaaldrich.com
542,,Glycerol,Chemical cabinet and Armando's bench 663,G22020-1.0,rpicorp.com
543,B-,Glycerophosphate disodium salt hydrate,Chemical cabinet 663,C9422-100G,sigmaaldrich.com
544,,Glycine,Chemical cabinet Fume hood and large chemical cabinet 663,G7126-500G,sigmaaldrich.com
545,Ultra Pure,Guanidine hydrochloride,Chemical cabinet 663,15502-016,thermofisher.com
546,,Guanidine thiocyanate solution,Chemical drawer 663,50983-50ML,sigmaaldrich.com
547,,Guanine HCl,Chemical drawer 663,411120250,fishersci.com
548,,Guanosine 5 8 thio triphosphate tetralithium salt,Chemical cabinet 663,G8634,sigmaaldrich.com
549,,Guanosine 5 diphosphate,Side -20 663,G727-100MG,sigmaaldrich.com
550,,Guar gum,chemical cabinet,G9008-100G,aquasolutions.org
551,,Hemin,Fridge 663,H651-9,frontierscience.com
552,,HEPES,Chemical cabinet 663,H3375-100G,sigmaaldrich.com
553,,HEPES buffer,Fridge 663,H0887,sigmaaldrich.com
554,L-,Histidine,Chemical drawer and fume hood 663,A10413,alfa.com
555,,Hydroxylamine hydrochloride,Chemical drawer 663,HX0770-2,emdmillipore.com
556,trans-4-,Hydroxyl L proline,Chemical drawer 663,121700250,fishersci.com
557,p-,Hydroxyphenyl acetic acid,Chemical cabinet 663,H-4377,sigmaaldrich.com
558,,Hydroxyurea,Fridge 663,H8671G,sigmaaldrich.com
559,,Imidazole,Chemical cabinet 663,I0125-100G,sigmaaldrich.com
560,,Indomethacin,Chemical drawer 663,I7378-5G,sigmaaldrich.com
561,,Inosine,Chemical drawer 663,I4125-5G,sigmaaldrich.com
562,,Inulin,Chemical cabinet and fume hood 663,A18425,alfa.com
563,,Inulin from dahlia tubers,Chemical cabinet 663,13754-25G,sigmaaldrich.com
564,,Iodoacetamide,Fridge and side -20 663,16125-5G,sigmaaldrich.com
565,,Iron (II) chloride,Chemical drawer 663,372870-25,sigmaaldrich.com
566,,Iron (II) sulfate heptahydrate,Chemical cabinet 663,F7002-250G,sigmaaldrich.com
567,L,Isoleucine,Chemical drawer and fume hood 663,I2752-25G,sigmaaldrich.com
568,,Isopropyl B D thiogalactopyranoside,Side -20 663,CI8280-13,denvillescientific.com
569,,Kanamycin sulfate,Chemical drawer and fridge 663,0408-10G,us.vwr.com
570,,Kasugamycin,Fridge 663,K-4013,sigmaaldrich.com
571,,Kethoxal,Side -20 663,17930,usbweb.com
572,L-(+)-,Lactic acid solution 30% in water by weight,Fridge 663,L1875-100ML,sigmaaldrich.com
573,,Lactobacilli MRS agar,Fridge 663 Fridge 607,7543B,hardydiagnostics.com
574,,Lactobacilli MRS broth,Fridge 663 Fridge 607,288110,bdbiosciences.com
575,,Lactose,Chemical cabinet 663,215620,bdbiosciences.com
576,,Lechithin,Jenny's bench 663,36486,alfa.com
577,L-,Leucine,Chemical drawer and fume hood 663,L8000-25G,sigmaaldrich.com
578,,Lincomycin HCl,Side -20 663,1657-1G,sigmaaldrich.com
579,(±)-α-,Lipoic acid,Chemical drawer 663,T5625-1G,sigmaaldrich.com
580,,Lithium acetate,Chemical cabinet 663,517992-100G,sigmaaldrich.com
581,,Lithium chloride,Chemical cabinet 663,2370-01,avantornic.com
582,Difco,Luria agar base miller,Annie's bench 607,241320,bdbiociences.com
583,L,Lysine hydrate,Fume hood 663,282677-25G,sigmaaldrich.com
584,L(+)-,Lysine monohydrochloride,Chemical cabinet and drawer 663,125222500,fishersci.com
585,,Lysozyme,Back -20 663,L6876-1G,sigmaaldrich.com
586,,Lyticase from arthrobacter luteus,Fridge 663,L5163-25KG,sigmaaldrich.com
587,,M17 broth,Chemical cabinet 663,218561,bdbiosciences.com
